作品名稱,藝術家,,媒材,作品尺寸(高),作品尺寸(寬),作品售價NTD
橘色的牆面,李宜亞,YYL012021006000,油性粉彩、紙,,,27300
疊1,李宜亞,YYL012021005000,油性粉彩、紙,,,16800
對清水的半知半解 - P6,蔡尚寬,SKT012022012000,水干顏料、動物膠、中藥粉、礦物顏料、紙,,,2625
對清水的半知半解 - P8,蔡尚寬,SKT012023011000,水干顏料、動物膠、中藥粉、礦物顏料、紙,,,2625
對清水的半知半解 - P12,蔡尚寬,SKT012022009000,水干顏料、動物膠、中藥粉、礦物顏料、紙,,,2625
臨海的風景 - 網寮 2,蔡尚寬,SKT012023004000,水干顏料、動物膠、紙,,,3990
臨海的風景 - 網寮,蔡尚寬,SKT012023002000,水干顏料、動物膠、紙,,,8085
金山．銀山-栗喉蜂虎 1,高甄斈,JSK012018002000,水墨、礦物顏料、紙,,,12075
原生地．珊瑚-10,高甄斈,JSK012023010000,水墨、礦物顏料、紙,,,13125
金山．銀山-高粱 2,高甄斈,JSK012018001000,水墨、礦物顏料、紙,,,7350
拾花釀春系列-雪滴花1,高甄斈,JSK012022014000,水墨、礦物顏料、紙,,,11550
拾花釀春系列-雪滴花2,高甄斈,JSK012022013000,水墨、礦物顏料、紙,,,11550
原生地．珊瑚-8,高甄斈,JSK012023012000,水墨、礦物顏料、紙,,,13125
"Deep Creek, USA",張育華,YHC012023028000,水彩、墨水、牛皮紙,,,2100
"San Martin Bridge, 西班牙",張育華,YHC012019023000,水彩、墨水、道林紙,,,2100
"Casa Tía Dolores, 西班牙",張育華,YHC012019021000,水彩、墨水、水彩紙,,,2100
未來生活的理想型,張育華,YHC012021018000,水彩、墨水、牛皮紙,,,2100
山 No.03,張育華,YHC012020015000,水彩、墨水、牛皮紙,,,2100
老屋 No.02,張育華,YHC012020011000,水彩、墨水、牛皮紙,,,2100
群靈 II,何珞瑜,RH0012021005000,刺繡、布,,,12600
Mooring II,何珞瑜,RH0012023012000,刺繡、布,,,9450
Mooring I,何珞瑜,RH0012023011000,刺繡、布,,,10500
Mooring III,何珞瑜,RH0012023013000,刺繡、布,,,10500
路口,許珮欣,PHH012020013000,水干顏料、礦物顏料、壯紙,,,11025
喜相逢,許珮欣,PHH012020012000,水干顏料、礦物顏料、壯紙,,,3675
火龍果,許珮欣,PHH012020011000,水干顏料、礦物顏料、壯紙,,,18375
民宅2,許珮欣,PHH012021005000,水墨、礦物顏料、手抄紙,,,19425
上山-擎天崗 I,陳耘,YC0012022011005,凸版、新樹脂版、版畫紙,,,8610
一朵耘,陳耘,YC0012022009001,凸版、木刻版畫、版畫紙,,,7665
迷迭擺擺-IV,陳耘,YC0012022007001,凸版、木刻版畫、版畫紙,,,7665
綠洲,楊昕,HY0012022004000,金泥雲母、水墨、京和紙,,,8085
雪降日,楊昕,HY0012022003000,膠彩、水墨、京和紙,,,9135
記憶第四十一號,李政勳,CHL012018003000,壓克力彩、畫布,,,14175
Urban Myth No.34,李政勳,CHL012018011000,壓克力彩、畫布,,,14175
Urban Myth No.35,李政勳,CHL012020008000,壓克力彩、畫布,,,14175
Urban Myth No.26,李政勳,CHL012019007000,壓克力彩、畫布,,,14175
Lady S,蕭逸玫,YMH012022007000,油彩、畫布,,,21000
STAND I,蕭逸玫,YMH012021006000,油彩、畫布,,,21000
TIME-LISA,蕭逸玫,YMH012022002000,油彩、畫布,,,13125
TIME-BIRTH,蕭逸玫,YMH012022001000,油彩、畫布,,,13125
感性與理性和隨性,張偉喬,WCC012022006000,壓克力彩、畫布,,,13125
他們也來了,張偉喬,WCC012021005000,壓克力彩、畫布,,,13125
我們來比賽吧,張偉喬,WCC012021004000,壓克力彩、畫布,,,13125
另一個 4,林瑩宣,YHL012022005000,壓克力彩、木板、畫布,,,10500
另一個 3,林瑩宣,YHL012022004000,壓克力彩、木板、畫布,,,10500
另一個 2,林瑩宣,YHL012022003000,壓克力彩、木板、畫布,,,10500
另一個 1,林瑩宣,YHL012022002000,壓克力彩、木板、畫布,,,10500
組織秘密空間-11,劉佩瑜,PYL012020010000,壓克力彩、紙凹版,,,7350
組織秘密空間-10,劉佩瑜,PYL012020009000,壓克力彩、紙凹版,,,7350
組織秘密空間-8,劉佩瑜,PYL012020007000,壓克力彩、紙凹版,,,7350
《界》系列,涂愷姸,KT0012019001001,數位輸出、相紙,,,15750
擊落第一批空軍,鄭盛謙,SCC012022005000,代針筆、色鉛筆、紙,,,4200
The Anatomy of a God,鄭盛謙,SCC012022004000,代針筆、紙,,,7875
柯羅諾斯,鄭盛謙,SCC012022003000,代針筆、紙,,,5250
光的追尋#1,陳邦恩,CBE012021010002,攝影、微噴輸出、無酸紙,,,6615
光的追尋#2,陳邦恩,CBE012021009002,攝影、微噴輸出、無酸紙,,,6615
極光 彩,陳邦恩,CBE012021008002,攝影、微噴輸出、無酸紙,,,6300
極光之一,陳邦恩,CBE012021007002,微噴輸出、無酸紙,,,6300
Ｕ,陳邦恩,CBE012021006005,微噴輸出、無酸紙,,,3444
一瞬間的永恆,王淑靜,SCW012023007000,膠彩、岩彩、礦物顏料、壯紙,,,5250
靈魂的居所,王淑靜,SCW012023006000,金粉、銀粉、礦物顏料、紙,,,10500
指尖上盛開的幸福,王淑靜,SCW012023008000,膠彩、岩彩、礦物顏料、壯紙,,,5250
為了誰的純粹,王淑靜,SCW012023005000,金粉、銀粉、礦物顏料、木板、壯紙,,,10500
等待春天-1,王淑靜,SCW012023002000,膠彩、礦物顏料、木板、壯紙,,,5250
等待春天-2,王淑靜,SCW012023001000,膠彩、礦物顏料、木板、壯紙,,,5250
Bed on the road,丁柏晏,PYD012020011000,鉛筆、壓克力彩、紙,,,7875
廣告牆,丁柏晏,PYD012020010000,鉛筆、壓克力彩、紙,,,7875
組織化,丁柏晏,PYD012020009000,鉛筆、壓克力彩、紙,,,9450
獵物,丁柏晏,PYD012020008000,鉛筆、壓克力彩、紙,,,7875
No title,丁柏晏,PYD012020003000,壓克力彩、畫布,,,7875
仰望,黃彥勳,YHH012022002000,碳酸鈣、壓克力彩、複合媒材 、環氧樹脂、木板,,,12679
龍珠山石-特南克斯,蔡煒廷,T00012022005000,油彩、畫布,,,21000
龍珠山石-龜仙人,蔡煒廷,T00012022002000,油彩、畫布,,,21000
龍珠山石-神龍,蔡煒廷,T00012022001000,油彩、畫布,,,16800
距離,陳若云,RYC012021011000,壓克力彩、畫布,,,15120
小盆麒麟花1,陳若云,RYC012021009000,壓克力彩、畫布,,,10500
布娃娃,陳若云,RYC012020004000,壓克力彩、畫布,,,2100
公車上,陳若云,RYC012016001000,壓克力彩、畫布,,,16905
魚類圖鑑-卡浦卡斯海底幽靈,簡翊晉,YC0012020033019,凹版、版畫紙,,,5670
魚類圖鑑 - pirarucu紅色的大魚,簡翊晉,YC0012022030013,凹版、版畫紙,,,5670
魚類圖鑑 - 海王raja laut,簡翊晉,YC0012023027009,凹版、版畫紙,,,5670
礦石目錄 - 山石,簡翊晉,YC0012021024014,凹版、版畫紙,,,4725
礦石目錄 - 碎石,簡翊晉,YC0012022021007,凹版、版畫紙,,,4725
礦石目錄 - 千枚,簡翊晉,YC0012022018008,凹版、版畫紙,,,4725
Cleaner #317,戴于濱,YBD012022008000,壓克力彩、畫布,,,17850
Message #800,戴于濱,YBD012022007000,壓克力彩、畫布,,,17850
Untitled #206MI,戴于濱,YBD012022006000,壓克力彩、畫布,,,17850
瓜瓜樂 - 無敵777,張皓宇,HYC012023001000,油彩、複合媒材 、畫布,,,6300
生-藍蓮花 XV,李依恬,YTL022022006000,動物膠、壓克力彩、複合媒材 、礦物顏料、木板、壯紙,,,18900
生-藍蓮花Ⅸ,李依恬,YTL022021005000,動物膠、壓克力彩、複合媒材 、礦物顏料、木板、壯紙,,,18900
生-藍蓮花Ⅵ,李依恬,YTL022021004000,動物膠、壓克力彩、複合媒材 、礦物顏料、木板、壯紙,,,18900
他想變成風,林庭芝,TCL012020003000,油彩、畫布,,,12474
6月的隱喻,林庭芝,TCL012020002000,壓克力彩、畫布,,,14175
海。窗,胡韻萱,YHH022022005000,鋼珠筆、宣紙,,,4200
你買給我的玩具,李佳怡,JL0012017017000,壓克力彩、畫布,,,15750
安心地在河流裡呼吸,李佳怡,JL0012017010000,壓克力彩、畫布,,,15750
你能把所有的心事都拿出來曬一曬，好讓陽光帶走你所有的不愉快。,李佳怡,JL0012021007000,壓克力彩、畫布,,,16800
深夜的春聯攤車,李佳怡,JL0012021006000,壓克力彩、畫布,,,16800
可是遺憾困住我。,李佳怡,JL0012019004000,壓克力彩、畫布,,,21000
日常陪伴,陳胤汝,RC0012022016000,膠彩、紙,,,18900
櫻,賈瑞云,RC0022022031000,膠彩、麻紙,,,15750
枯萎且張牙舞爪,賈瑞云,RC0022022030000,銅箔、礦物顏料、麻紙,,,13125
繁花,賈瑞云,RC0022022029000,礦物顏料、麻紙,,,15750
雨季,賈瑞云,RC0022022038000,礦物顏料、麻紙,,,13125
流,賈瑞云,RC0022022032000,礦物顏料、麻紙,,,22575
心目中的那群人,邱伶琳,LLC012012011000,水干顏料、鉛粉、水墨、色卡紙,,,21000
再會,邱伶琳,LLC012017010000,壓克力彩、畫布,,,15750
哭哭,郭雅倢,YCK012019015000,礦物顏料、楮皮紙,,,7350
哭哭,郭雅倢,YCK012019012000,礦物顏料、楮皮紙,,,7350
掉了也不知道,郭雅倢,YCK012018008000,胡粉、水墨、礦物顏料、楮皮紙,,,3150
煩惱絲-分岔,郭雅倢,YCK012018010000,銀泥、水墨、礦物顏料、楮皮紙,,,5775
煩惱絲,郭雅倢,YCK012018009000,銀泥、水墨、礦物顏料、楮皮紙,,,5775
哭哭,郭雅倢,YCK012019013000,礦物顏料、楮皮紙,,,7350
聖地遊訪,郭雅倢,YCK012021002000,色粉、水墨、蟬衣宣,,,7350
哭哭,郭雅倢,YCK012019014000,礦物顏料、楮皮紙,,,7350
野蒲公英,胡晴雯,CWH012023003000,銀箔、複合媒材 、京和紙,,,23625
秋室思想,陳胤汝,RC0012023019000,膠彩、紙,,,18900
草與川,魏孟如,MRW012022006000,水墨、美濃紙、玉扣紙,,,4935
感官世界：勿聽,黃韻軒,HYH012022005000,油彩、麻布,,,14490
馬力,黃韻軒,HYH012022004000,壓克力彩、鍍金顏料、油彩、麻布,,,22050
擴張,黃書容,BH0012017016000,壓克力彩、畫布,,,3150
鷹,黃書容,BH0012017014000,壓克力彩、複合媒材 、畫布,,,3150
街市絮語05,陳亮廷,LTC012022007000,油彩、畫布,,,7350
港灣記事01,陳亮廷,LTC012023006000,油彩、複合媒材 、畫布,,,10500
港灣記事04,陳亮廷,LTC012023004000,油彩、畫布,,,7350
港灣記事05,陳亮廷,LTC012023003000,油彩、畫布,,,8400
黑澤 #2,邱士博,CS0012021002000,酒精麥克筆、壓克力彩、水彩、紙,,,10500
雪國 #1,邱士博,CS0012020018000,酒精麥克筆、水彩、壓克力彩、紙,,,10500
雪國 #3,邱士博,CS0012020016000,酒精麥克筆、水彩、壓克力彩、紙,,,10500
Constellations #10,邱士博,CS0012011011003,數位輸出、紙,,,13650
Constellations #9,邱士博,CS0012011010003,數位輸出、紙,,,13650
Constellations #7,邱士博,CS0012011009003,數位輸出、紙,,,13650
Constellations #6,邱士博,CS0012011001003,數位輸出、紙,,,13650
北市,張祐齡,YLC012023016000,油彩、畫布,,,5040
流形,張祐齡,YLC012023014000,油彩、畫布,,,8925
底層的夢,黃千芮,CH0012019004000,壓克力彩、複合媒材 、圖畫紙、紙,,,8400
煙花,黃千芮,CH0012020003000,壓克力彩、複合媒材 、紙,,,8400
花圃,黃千芮,CH0012022002000,壓克力彩、複合媒材 、紙,,,8400
聽？,蔡沛倚,PYT012021006000,油彩、畫布,,,12600
故居的炊煙,蔡沛倚,PYT012021005000,油彩、畫布,,,15120
家鄉旅遊 IV,蔡沛倚,PYT012021003000,油彩、畫布,,,11550
盹,柯頌葳,SWK012022008000,油彩、畫布,,,9975
有時候乾枯了,柯頌葳,SWK012021004000,油彩、畫布,,,9975
紅帽的第二個夢,李睿歆,RXL012022012000,油彩、畫布,,,5775
在...那熟悉的今天,俞柏安,BAY012023014000,水彩、紙,,,7875
遠山與彼岸,俞柏安,BAY012023013000,水彩、畫布,,,9450
美麗新世界,俞柏安,BAY012023012000,水彩、紙,,,7875
停車站,吳宏德,HDW012022005000,油彩、畫布,,,8400
天水一色,吳宏德,HDW012022004000,油彩、畫布,,,8400
公路風景,吳宏德,HDW012022003000,油彩、畫布,,,8400
夜色茫茫,吳宏德,HDW012021001000,油彩、畫布,,,10500
昨天的事,吳柏賢,BSW012019009000,油彩、畫布,,,5670
Happy Together 15,吳梓和,NTW012021010000,壓克力彩、畫布,,,15750
Happy Together 14,吳梓和,NTW012021009000,壓克力彩、畫布,,,8400
Happy Together 11,吳梓和,NTW012021007000,壓克力彩、畫布,,,15750
咪醬的探險：香蕉皮上,黃千倫,CLH012020003000,水墨、紙,,,9450
咪醬的探險：禽流感,黃千倫,CLH012020001000,水墨、紙,,,26250
咪醬的探險：海洋危機,黃千倫,CLH012020002000,水墨、紙,,,26250
意外,盧冠宏,GHL012018005000,油彩、畫布,,,18900
棄置的夢,盧冠宏,GHL012022004000,油彩、畫布,,,16800
清楚的視野,盧冠宏,GHL012022002000,油彩、畫布,,,16800
對焦,盧冠宏,GHL012022001000,油彩、畫布,,,16800
一日南寮-風箏,林君晏,JYL012020007000,碳酸鈣、油彩、畫布,,,28350
聖誕舞池之戰,蕭其珩,QHX012017008000,油彩、畫布,,,18900
對聖誕樹的想像,蕭其珩,QHX012017007000,油彩、畫布,,,18900
遊戲時間,蕭其珩,QHX012017006000,油彩、畫布,,,18900
1226,蕭其珩,QHX012017005000,油彩、畫布,,,18900
裝扮冠軍,蕭其珩,QHX012017004000,油彩、畫布,,,18900
不知道來這裏是為了什麼,游景棠,CTY012021004000,壓克力彩、畫布,,,21000
上頭好像寫了什麼,游景棠,CTY012021001000,壓克力彩、畫布,,,21000
從這一夜 到 另一個夜 don't cry,游景棠,CTY012021007000,壓克力彩、畫布,,,21000
這裡沒有門,游景棠,CTY012021006000,壓克力彩、畫布,,,21000
競選海報三,蔡鎮澤,CTT012018004000,壓克力彩、畫布,,,18900
競選海報二,蔡鎮澤,CTT012018003000,壓克力彩、畫布,,,18900
競選海報一,蔡鎮澤,CTT012018002000,壓克力彩、畫布,,,18900
山與石,楊子逸,ZYY012016004000,膠彩、紙,,,26250
金面之三,潘麒方,CFP012022006000,油彩、畫布,,,39375
紫色玉山,黃韻軒,HYH012022009000,鍍金顏料、油彩、麻布,,,61740
伯樂-4,楊舒涵,SHY012021004000,油彩、畫布板,,,23625
ARTIST,羅昱翰,L00012020002000,壓克力彩、麻布,,,31500
景賢七路,劉瑞芸,JY0012019005000,壓克力彩、畫布,,,5250
谷關,劉瑞芸,JY0012019004000,壓克力彩、畫布,,,6300
寬裕,劉瑞芸,JY0012023015000,油畫棒、紙,,,4830
安康,劉瑞芸,JY0012023008000,油畫棒、紙,,,4830
大頭狗,劉瑞芸,JY0012023007000,油畫棒、紙,,,4830
不要為了我吵架,劉瑞芸,JY0012023006000,蠟筆、紙,,,4935
阿嬤家的磨石子地板,廖家翊,C00022023008000,壓克力彩、複合媒材 、畫布,,,5040
府邸廊道,廖家翊,C00022023006000,壓克力彩、金屬粉、畫布,,,5040
遊戲小室 03,廖家翊,C00022023011000,壓克力彩、複合媒材 、金屬粉、畫布,,,6090
遊戲室 06,廖家翊,C00022023013000,壓克力彩、複合媒材 、畫布,,,6090
日,廖家翊,C00022023010000,壓克力彩、複合媒材 、畫布,,,6090
隨筆系列-15,吳宏德,HDW012020007000,油彩、畫布,,,2100
隨筆系列-12,吳宏德,HDW012020006000,油彩、畫布,,,2100
謝謝你送我一片星空,劉昕宜,SYL012023023000,色鉛筆、無酸紙,,,5460
一起追逐夢想,劉昕宜,SYL012023021000,色鉛筆、無酸紙,,,5460
謝謝妳給人力量,劉昕宜,SYL012023020000,色鉛筆、無酸紙,,,5460
晚安,王貽宣,YHW012016010000,鉛筆、壓克力彩、紙板,,,10500
MOMO,王貽宣,YHW012018003000,鉛筆、壓克力彩、紙,,,4200
MOMO,王貽宣,YHW012018004000,鉛筆、壓克力彩、紙,,,4200
重重神 II,何珞瑜,RH0012022010000,麥克筆、色鉛筆、紙,,,10500
晚安,王貽宣,YHW012017009000,鉛筆、壓克力彩、紙板,,,10500
MOMO,王貽宣,YHW012018002000,鉛筆、壓克力彩,,,4200
港灣記事02,陳亮廷,LTC012023005000,油彩、塑形土、畫布,,,7350
梳水,張育瑄,YXZ012022011000,油彩、畫布,,,5355
東清國小,張育瑄,YXZ012022005000,油彩、畫布,,,5775
之後的地方,許佳琪,CCH012017006000,膠彩、油彩、炭精筆、畫布,,,6300
聖地遊訪,郭雅倢,YCK012021001000,色粉、水墨、蟬衣宣,,,7350
Constellations #11,邱士博,CS0012011019003,數位輸出、紙,,,13650
Constellations #8,邱士博,CS0012011017003,數位輸出、紙,,,13650
Constellations #12,邱士博,CS0012011012003,數位輸出、紙,,,13650
Constellations #1,邱士博,CS0012011008003,數位輸出、紙,,,13650
Constellations #3,邱士博,CS0012011006003,數位輸出、紙,,,13650
Constellations #4,邱士博,CS0012011005003,數位輸出、紙,,,13650
菜車,許珮欣,PHH012016007000,水干顏料、礦物顏料、壯紙,,,29400
困,賈瑞云,RC0022021017000,水彩、紙,,,5250
Hide,蕭逸玫,YMH012021009000,油彩、畫布,,,21000
Lady J,蕭逸玫,YMH012021008000,油彩、畫布,,,21000
STAND II,蕭逸玫,YMH012021005000,油彩、畫布,,,21000
府邸枯山水 02,廖家翊,C00022023009000,壓克力彩、複合媒材 、畫布,,,10290
樹下小屋,許珮欣,PHH012020015000,水干顏料、礦物顏料、壯紙,,,11025
時鐘花,許珮欣,PHH012020010000,水干顏料、礦物顏料、壯紙,,,11025
對清水的半知半解 - P1,蔡尚寬,SKT012022015000,水干顏料、動物膠、中藥粉、礦物顏料、紙,,,2625
對清水的半知半解 - P2,蔡尚寬,SKT012022014000,水干顏料、動物膠、中藥粉、礦物顏料、紙,,,2625
對清水的半知半解 - P5,蔡尚寬,SKT012022013000,水干顏料、動物膠、中藥粉、礦物顏料、紙,,,2625
對清水的半知半解 - P9,蔡尚寬,SKT012022010000,水干顏料、動物膠、中藥粉、礦物顏料、紙,,,2625
對清水的半知半解 - P13,蔡尚寬,SKT012022008000,水干顏料、動物膠、中藥粉、礦物顏料、紙,,,2625
對清水的半知半解 - P14,蔡尚寬,SKT012022007000,水干顏料、動物膠、中藥粉、礦物顏料、紙,,,2625
對清水的半知半解 - P18,蔡尚寬,SKT012022006000,水干顏料、動物膠、中藥粉、礦物顏料、紙,,,2625
Constellation #2,邱士博,CS0012011007003,數位輸出、紙,,,13650
Constellations #5,邱士博,CS0012011004003,數位輸出、紙,,,13650
"The Color of Southern California, USA",張育華,YHC012023029000,水彩、墨水、牛皮紙,,,2100
"San Juan De Gastgatxe, 西班牙",張育華,YHC012019019000,水彩、墨水、水彩紙,,,2100
廢墟 No.03,張育華,YHC012021003000,水彩、墨水、牛皮紙,,,2100
原生地．珊瑚-9,高甄斈,JSK012023011000,水墨、礦物顏料、紙,,,13125
漱口杯溢出的念,謝佳淇,CS0022023003000,複合媒材 、紙,,,7455
八月末，九月初,林宜蓁,YCL012021008000,炭筆、壓克力彩、畫布,,,12758
魚類圖鑑-卡浦卡斯海底幽靈,簡翊晉,YC0012020032018,凹版、版畫紙,,,5670
魚類圖鑑 - pirarucu紅色的大魚,簡翊晉,YC0012022029012,凹版、版畫紙,,,5670
魚類圖鑑 - 海王raja laut,簡翊晉,YC0012023026008,凹版、版畫紙,,,5670
魚類圖鑑 - 海王raja laut,簡翊晉,YC0012023025007,凹版、版畫紙,,,5670
礦石目錄 - 山石,簡翊晉,YC0012021023013,凹版、版畫紙,,,4725
礦石目錄 - 山石,簡翊晉,YC0012021022012,凹版、版畫紙,,,4725
礦石目錄 - 碎石,簡翊晉,YC0012022020006,凹版、版畫紙,,,4725
礦石目錄 - 碎石,簡翊晉,YC0012022019004,凹版、版畫紙,,,4725
綠花,劉昕宜,SYL012023018000,壓克力彩、畫布,,,6825
魚類圖鑑-卡浦卡斯海底幽靈,簡翊晉,YC0012020031017,凹版、版畫紙,,,5670
魚類圖鑑 - pirarucu紅色的大魚,簡翊晉,YC0012022028011,凹版、版畫紙,,,5670
礦石目錄 - 千枚,簡翊晉,YC0012022016006,凹版、版畫紙,,,4725
礦石目錄 - 千枚,簡翊晉,YC0012022017007,凹版、版畫紙,,,4725
日與夜,吳宏德,HDW012022002000,油彩、畫布,,,8400
阿勃勒,蔡詠欣,X00012017004019,油印木刻版、紙,,,2520
重重神 I,何珞瑜,RH0012022009000,麥克筆、色鉛筆、紙,,,10500
水的路徑,游心妤,HYY012023014000,壓克力彩、水性粉彩、畫布板,,,13125
小波的模樣,林儒鐸,RL0012016001000,壓克力彩、畫布,,,33600
消失了 消失了你怎麼在這,吳柏賢,BSW012020007000,油彩、畫布,,,18900
你啊你啊,吳柏賢,BSW012020005000,油彩、畫布,,,18900
海-堆積,胡韻萱,YHH022022004000,雲母、水性顏料、宣紙,,,11445
Romero III,陳耘,YC0012021003001,凸版、木刻版畫、版畫紙,,,7665
